Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Day,Weekday
store 6,1572117.54,N,59.61,3.045,214.7775231,6.858,2011.0,2.0,18.0,4.0
store 13,1807545.43,N,42.38,3.435,128.6160645,7.47,2011.0,3.0,25.0,4.0
store 11,1244390.03,N,84.57,,214.55649680000005,7.346,,,,
store 6,1644470.66,N,78.89,2.759,212.412888,7.0920000000000005,2010.0,5.0,28.0,4.0
store 4,1857533.7,N,,2.756,126.1602258,7.896,2010.0,5.0,28.0,4.0
store 15,695396.19,N,69.8,4.069,134.85516130000002,7.657999999999999,2011.0,3.0,6.0,6.0
store 20,2203523.2,N,39.93,3.617,213.0236225,6.961,2012.0,3.0,2.0,4.0
store 3,418925.47,N,60.12,3.555,224.1320199,6.832999999999998,,,,
store 8,895066.5,N,82.92,3.554,219.07019680000005,6.425,2011.0,8.0,19.0,4.0
store 18,1029618.1,N,52.02,2.878,132.7633548,9.331,2010.0,10.0,15.0,4.0
store 7,414094.05,N,36.61,3.767,192.826069,8.595,2011.0,5.0,13.0,4.0
store 1,1677472.78,N,64.74,3.734,221.2118132,7.348,2012.0,3.0,16.0,4.0
store 17,829207.27,N,60.07,2.853,126.2346,6.885,2010.0,1.0,10.0,6.0
store 6,1498080.16,N,68.91,2.78,211.8942725,7.0920000000000005,2010.0,4.0,30.0,4.0
store 13,1997397.63,N,76.34,2.85,,7.951,2010.0,8.0,20.0,4.0
store 18,1205307.5,N,21.33,2.7880000000000003,131.52790320000005,9.202,,,,
store 2,2432736.52,N,50.13,,,7.441,2011.0,12.0,16.0,4.0
store 7,561145.14,N,38.26,2.725,189.7048215,8.963,2010.0,2.0,4.0,3.0
store 5,290930.01,N,77.38,3.899,216.5343611,6.489,2011.0,5.0,13.0,4.0
store 18,1074079.0,N,50.97,4.029,138.9117,8.243,2012.0,12.0,10.0,0.0
store 19,1427023.45,N,39.07,2.963,131.863129,8.35,2010.0,3.0,26.0,4.0
store 19,1405007.44,N,50.76,4.124,138.0332,8.15,2012.0,4.0,5.0,3.0
store 17,919878.34,N,44.82,3.797,131.1083333,5.527,2012.0,12.0,10.0,0.0
store 3,367438.62,N,51.86,3.261,,6.832999999999998,2012.0,1.0,13.0,4.0
store 16,435397.19,N,43.95,3.828,192.831317,6.339,2011.0,5.0,20.0,4.0
store 17,757738.76,N,45.22,2.915,126.5621,6.635,2010.0,4.0,16.0,4.0
store 6,1420405.41,N,,3.523,217.2706543,6.925,2011.0,8.0,26.0,4.0
store 7,563460.77,Y,18.79,3.103,196.9195056,8.256,2012.0,10.0,2.0,1.0
store 14,2077256.24,Y,37.0,,,8.424,2012.0,10.0,2.0,1.0
store 19,1266564.94,N,33.26,3.789,133.9587419,7.771,2011.0,3.0,25.0,4.0
store 3,365248.94,N,80.19,3.467,219.7414914,7.567,2011.0,9.0,23.0,4.0
store 18,988157.72,N,,3.823,134.2784667,8.975,2011.0,4.0,15.0,4.0
store 4,2008344.92,N,81.85,3.57,129.0663,5.9460000000000015,2011.0,6.0,24.0,4.0
store 5,311906.7,N,60.71,3.297,218.5699621,6.3,2011.0,11.0,11.0,4.0
store 18,961186.23,N,50.43,4.023,137.9781333,8.304,2012.0,4.0,27.0,4.0
store 16,526525.16,N,,3.659,198.1267184,6.061,2012.0,9.0,14.0,4.0
store 1,1661767.33,Y,,3.73,222.4390153,6.908,,,,
store 7,629994.47,N,57.6,3.485,194.3796374,8.622,2011.0,8.0,26.0,4.0
store 1,1641957.44,Y,38.51,2.548,211.24216980000003,8.106,2010.0,12.0,2.0,3.0
store 2,1861802.7,N,54.63,3.555,220.275944,7.057,2012.0,2.0,24.0,4.0
store 5,268929.03,N,82.46,2.64,211.9270006,6.496,2010.0,7.0,30.0,4.0
store 19,1549018.68,N,66.25,2.958,132.5218667,8.099,2010.0,2.0,7.0,6.0
store 1,1624383.75,N,91.65,3.684,215.544618,7.9620000000000015,2011.0,5.0,8.0,6.0
store 16,485095.41,N,48.29,3.75,197.4133259,6.162000000000001,2012.0,3.0,30.0,4.0
store 13,2035431.39,N,61.11,3.788,130.95922579999998,5.965,2012.0,1.0,6.0,4.0
store 2,1916812.74,N,59.69,2.728,211.6608975,8.163,2010.0,12.0,11.0,5.0
store 14,1879451.23,N,41.76,3.625,184.9943679,8.549,2011.0,3.0,25.0,4.0
store 10,1805999.79,N,86.87,3.666,130.7196333,7.17,2012.0,6.0,7.0,3.0
store 13,1847430.96,N,63.6,3.648,129.5183333,6.877000000000002,2011.0,9.0,23.0,4.0
store 8,888816.78,N,74.92,2.619,214.9362793,6.315,2010.0,8.0,27.0,4.0
store 6,1532308.78,N,,2.64,212.8944846,6.973,2010.0,7.0,30.0,4.0
store 14,2020550.99,N,36.85,3.695,189.8424834,8.424,2012.0,2.0,17.0,4.0
store 14,2095599.93,N,,4.046,185.9374378,8.521,2011.0,6.0,5.0,6.0
store 10,1990371.02,N,57.62,3.882,130.6457931,7.545,2012.0,2.0,3.0,4.0
store 5,313358.15,N,69.17,3.594,224.0192873,5.4220000000000015,2012.0,10.0,19.0,4.0
store 4,2771397.17,N,36.44,3.149,129.8980645,5.143,2011.0,12.0,16.0,4.0
store 10,1714309.9,N,43.43,3.287,127.1917742,8.744,,,,
store 18,1166117.85,N,73.67,2.792,132.6141935,9.342,2010.0,6.0,8.0,1.0
store 3,461622.22,N,45.71,2.572,214.4248812,7.3679999999999986,2010.0,5.0,2.0,6.0
store 18,1588430.71,N,27.4,3.139,,9.331,2010.0,12.0,17.0,4.0
store 13,2461468.35,N,36.78,2.817,126.7934,7.795,2010.0,10.0,12.0,1.0
store 1,1449142.92,N,85.22,2.619,211.5673056,7.787000000000001,2010.0,8.0,27.0,4.0
store 20,1973135.87,N,75.17,2.8080000000000003,204.5675459,7.856,2010.0,6.0,25.0,4.0
store 15,570611.23,N,47.42,4.021,137.5843871,7.943,2012.0,3.0,16.0,4.0
store 1,1539483.7,N,62.25,3.3080000000000003,218.2205088,7.866,2011.0,11.0,18.0,4.0
store 20,1789687.65,N,69.37,,,7.527,2010.0,9.0,24.0,4.0
store 9,519823.3,N,49.96,2.7710000000000004,215.43728540000004,6.56,2010.0,11.0,19.0,4.0
store 5,359206.21,N,,3.63,221.4342146,5.943,,,,
store 11,1569607.94,N,52.77,3.51,223.9170153,6.832999999999998,,,,
store 15,607475.44,N,79.97,3.972,135.8738387,7.806,,,,
store 2,1758050.79,N,44.69,2.9760000000000004,211.0648881,8.027999999999999,2011.0,7.0,1.0,4.0
store 17,986922.62,N,,3.793,131.03754840000002,6.235,,,,
store 3,431985.36,N,75.19,3.688,225.2351496,6.664,2012.0,11.0,5.0,0.0
store 20,2045837.55,N,39.79,3.739,213.4725116,6.961,,,,
store 2,1797732.56,N,76.42,3.786,215.1544822,7.931,,,,
store 9,485389.15,N,78.51,2.642,214.6564301,6.442,2010.0,9.0,7.0,1.0
store 17,1046782.52,N,68.91,3.63,,5.936,,,,
store 14,1953544.76,N,78.47,3.76,186.1399808,8.625,2011.0,7.0,15.0,4.0
store 1,1494251.5,N,74.78,2.854,210.3374261,7.808,2010.0,5.0,14.0,4.0
store 8,860336.16,N,49.76,,214.7492449,6.299,2010.0,12.0,3.0,4.0
store 10,1768172.31,N,90.32,,126.1266,9.524,2010.0,6.0,25.0,4.0
store 13,2018314.71,N,78.82,2.814,126.1392,7.951,2010.0,2.0,7.0,6.0
store 3,364076.85,N,83.52,2.637,214.7858259,7.343,2010.0,6.0,18.0,4.0
store 2,1799520.14,N,46.75,,219.355063,7.057,2012.0,6.0,1.0,4.0
store 18,1087051.26,N,69.75,3.815,135.4468,8.89,,,,
store 4,2302504.86,N,42.4,2.86,126.7934,7.127000000000002,2010.0,10.0,12.0,1.0
store 3,419497.95,N,82.7,3.346,225.3068615,6.664,2012.0,6.0,22.0,4.0
store 19,1366395.96,N,72.83,2.932,132.5983871,8.099,2010.0,7.0,30.0,4.0
store 14,2095591.63,N,34.89,,,8.992,2010.0,2.0,26.0,4.0
store 8,994801.4,Y,33.34,2.548,214.62141890000004,6.299,2010.0,12.0,2.0,3.0
store 20,1799737.79,Y,28.85,3.179,204.6432267,7.484,2010.0,12.0,31.0,4.0
store 19,1468350.36,N,,3.722,138.1629,8.15,2012.0,6.0,22.0,4.0
store 13,1811606.21,N,32.71,,130.27922579999998,6.104,2012.0,1.0,20.0,4.0
store 11,1757242.51,Y,69.9,2.735,215.0614025,7.564,2010.0,11.0,26.0,4.0
store 7,457340.06,N,39.3,3.936,197.7227385,8.09,2012.0,4.0,20.0,4.0
store 9,513073.87,N,82.99,2.637,215.0166484,6.384,2010.0,6.0,18.0,4.0
store 8,836707.85,N,75.32,2.582,214.8785562,6.315,2010.0,9.0,17.0,4.0
store 5,275142.17,N,89.42,3.682,216.0464364,6.529,2011.0,7.0,29.0,4.0
store 7,597876.55,Y,57.84,3.596,198.0950484,7.872000000000001,2012.0,7.0,9.0,0.0
store 1,1466046.67,N,,3.786,215.5037878,7.682,2011.0,5.0,27.0,4.0
store 19,1467473.63,N,68.26,,134.94254840000002,7.657999999999999,2011.0,10.0,6.0,3.0
store 3,398838.97,N,63.91,3.3080000000000003,221.6432852,7.197,2011.0,11.0,18.0,4.0
store 16,614253.33,N,61.79,2.7110000000000003,189.5231276,6.867999999999999,2010.0,9.0,7.0,1.0
store 13,1970341.38,N,75.95,3.606,129.2015806,6.877000000000002,2011.0,12.0,8.0,3.0
store 18,1048134.24,N,73.25,3.84,138.1857097,8.535,,,,
store 13,2025582.62,N,52.5,3.529,130.82619350000002,6.104,2012.0,3.0,16.0,4.0
store 4,2036231.39,N,82.84,3.627,129.1507742,5.644,2011.0,7.0,22.0,4.0
store 4,2066541.86,N,84.59,3.469,129.1125,5.644,2011.0,8.0,7.0,6.0
store 10,1831676.03,N,88.44,3.112,126.1283548,9.199,,,,
store 6,1639358.93,N,74.24,3.807,217.0146941,6.855,2011.0,4.0,22.0,4.0
store 7,532739.77,N,50.6,3.804,197.5886046,8.09,2012.0,5.0,25.0,4.0
store 5,301827.36,N,62.37,,212.5604113,6.768,2010.0,12.0,11.0,5.0
store 3,403342.4,N,75.54,3.285,,7.197,2011.0,7.0,10.0,6.0
store 3,396968.8,N,78.53,2.705,214.4958382,7.343,2010.0,4.0,6.0,1.0
store 3,424513.08,N,73.44,3.594,226.9688442,6.034,2012.0,10.0,19.0,4.0
store 14,2248645.59,N,72.62,2.78,182.4424199,8.899,2010.0,6.0,18.0,4.0
store 19,1255087.26,N,55.2,4.17,137.9230667,8.15,2012.0,4.0,20.0,4.0
